"scenario","method","dose","n_replicates","p_eff_true","p_eff_mean","p_eff_bias","p_eff_rmse","p_eff_coverage_95","p_eff_interval_width","q_eff_true","q_eff_mean","q_eff_bias","q_eff_rmse","q_eff_coverage_95","q_eff_interval_width","r_eff_true","r_eff_mean","r_eff_bias","r_eff_rmse","r_eff_coverage_95","r_eff_interval_width"
"sce3","fixed_beta",1,100,0.05,0.0539578676496602,0.00395786764966023,0.0630008052860229,0.99,0.237281933835055,0.05,0.0820274401172303,0.0320274401172303,0.069796353494112,0.99,0.411331726559082,0,0.0297533974720894,0.0297533974720894,0.0301181616844196,0,0.339159718034597
"sce3","fixed_beta",2,100,0.1,0.113372980846764,0.0133729808467645,0.0708227007159996,1,0.372089605551893,0.115,0.165555897740294,0.0505558977402935,0.10235340137544,1,0.4609364669198,0.0166666666666667,0.0575503173643531,0.0408836506976864,0.0625077670690785,1,0.338055705324199
"sce3","fixed_beta",3,100,0.3,0.285008592654528,-0.0149914073454718,0.146745937597356,0.96,0.550589755965165,0.33,0.372641991280494,0.0426419912804938,0.149412775191082,0.97,0.604221498414826,0.0428571428571428,0.116869005047893,0.0740118621907505,0.0979192666633852,1,0.522471125810182
"sce3","fixed_beta",4,100,0.5,0.472094816209169,-0.0279051837908311,0.147637120559867,0.96,0.64213096796437,0.59,0.580732483690164,-0.00926751630983594,0.131788533032935,0.98,0.609849048903127,0.18,0.191767818365266,0.0117678183652657,0.0847797994845995,1,0.682006657460006
"sce3","fixed_beta",5,100,0.7,0.648362235285734,-0.0516377647142664,0.157716599922666,0.99,0.627836577154485,0.85,0.764348851828342,-0.0856511481716579,0.129963026349829,0.99,0.512520561507241,0.5,0.288293388527832,-0.211706611472168,0.227496434253814,1,0.839253077630152
"sce3","hierarchical_beta",1,100,0.05,0.125733842189793,0.0757338421897935,0.105952035200582,0.98,0.394886856052539,0.05,0.295976674577844,0.245976674577844,0.261735360178888,0.84,0.841642120280669,0,0.19307425319719,0.19307425319719,0.209587594614097,0,0.83617920756622
"sce3","hierarchical_beta",2,100,0.1,0.149432268671494,0.0494322686714942,0.092961439601852,1,0.429202231021125,0.115,0.256799634432964,0.141799634432964,0.178905606131724,0.95,0.568460498171043,0.0166666666666667,0.124036157498102,0.107369490831435,0.139310789450403,1,0.483275276912353
"sce3","hierarchical_beta",3,100,0.3,0.279226369691755,-0.0207736303082446,0.149121921751764,0.93,0.544612124845537,0.33,0.398481051394434,0.0684810513944339,0.164817759894536,0.96,0.617170543009768,0.0428571428571428,0.159222444820325,0.116365301963182,0.154917131427611,1,0.584407736881366
"sce3","hierarchical_beta",4,100,0.5,0.429675810751606,-0.0703241892483937,0.169282439196389,0.95,0.641156342052732,0.59,0.560713746758388,-0.0292862532416119,0.147016600733211,0.99,0.629161464920974,0.18,0.2071360777724,0.0271360777724,0.135732921108005,1,0.694735121044396
"sce3","hierarchical_beta",5,100,0.7,0.568571518604773,-0.131428481395227,0.223043389771171,0.92,0.661444538645605,0.85,0.706191171639726,-0.143808828360274,0.1854462337302,0.92,0.597903844807088,0.5,0.256143514495612,-0.243856485504388,0.278633671595496,0.97,0.849924915906433
