"dose","p_eff_hat","p_eff_lcl","p_eff_ucl","r_eff_hat","r_eff_lcl","r_eff_ucl","q_eff_hat","q_eff_lcl","q_eff_ucl","p_eff_true","q_eff_true","r_eff_true","nR","eR","nI","eI","alpha_eff_true","scenario","replicate","method"
3,0.287876473118533,0.0599385683538669,0.589431319343746,0.146801132407636,5.0760061269173e-09,0.611346699621229,0.395943748511766,0.134695062768726,0.742096583840348,0.35,0.455,0.161538461538461,3,1,3,1,0.3,"sce1",7,"hierarchical_beta"
4,0.466827330815683,0.162158278134785,0.803174626943577,0.195656214983506,1.01832138217998e-07,0.775081413635139,0.57761022180306,0.262907311297512,0.890713553506996,0.35,0.455,0.161538461538461,3,2,3,2,0.3,"sce1",7,"hierarchical_beta"
5,0.182051924446007,0.00086265657397648,0.485997362984164,0.154541911307978,3.55196777006939e-09,0.628155916123067,0.312678253878876,0.0513366933579345,0.705883389556349,0.35,0.455,0.161538461538461,3,0,3,1,0.3,"sce1",7,"hierarchical_beta"
1,0.0214734496957872,4.93759049045964e-10,0.198477418323773,0.0243646365959483,4.98007514316503e-26,0.29908174002859,0.0455075523669064,2.72499403117254e-07,0.345448809421605,0.2,0.2,0,6,0,0,0,0.3,"sce1",8,"fixed_beta"
2,0.153911079510286,2.48685037937472e-05,0.59591670677701,0.2773639903529,7.50735496186830e-09,0.770208411388254,0.409545384296716,0.082256620747454,0.776411334146804,0.35,0.41,0.0923076923076923,3,0,3,2,0.3,"sce1",8,"fixed_beta"
3,0.219477655428864,0.000531795419984075,0.608329542642394,0.244873519439661,1.96159473446133e-06,0.754661378642996,0.429171129356234,0.0984949916252451,0.79797718601775,0.35,0.455,0.161538461538461,3,0,3,2,0.3,"sce1",8,"fixed_beta"
4,0.227995170515866,0.00762880320683803,0.599622000862804,0.302286002488571,0.000146876482326127,0.808350131671938,0.475514437438759,0.134228140388368,0.850142460808802,0.35,0.455,0.161538461538461,3,0,3,2,0.3,"sce1",8,"fixed_beta"
5,0.123935602120467,0.00338774152725995,0.401431702957911,0.0874329950200614,0.000142850954216203,0.398947460106519,0.2004634198038,0.0139117804816548,0.513122824118892,0.35,0.455,0.161538461538461,3,0,3,0,0.3,"sce1",8,"fixed_beta"
1,0.0309170894962566,1.93669366451804e-34,0.183917197287554,0.380907181506367,2.08150554237688e-05,0.965703275884929,0.402435015524893,0.00551431356217239,0.968016061631671,0.2,0.2,0,6,0,0,0,0.3,"sce1",8,"hierarchical_beta"
2,0.052055424924014,4.18260215835077e-20,0.351042811929969,0.480425451652838,0.00247365297561111,0.874503636728742,0.51495183578973,0.125809331920922,0.882666559166829,0.35,0.41,0.0923076923076923,3,0,3,2,0.3,"sce1",8,"hierarchical_beta"
3,0.0470537567468295,4.76366400717164e-19,0.274487623008995,0.485697093257338,0.0584564779508922,0.881523436944624,0.515215160100259,0.165884610431748,0.884106472043493,0.35,0.455,0.161538461538461,3,0,3,2,0.3,"sce1",8,"hierarchical_beta"
4,0.0467322216516411,3.12179812006354e-32,0.303258602809615,0.487602383728353,0.0283092328538167,0.894971447984353,0.516488514667138,0.143379149410928,0.901643401509852,0.35,0.455,0.161538461538461,3,0,3,2,0.3,"sce1",8,"hierarchical_beta"
5,0.0300506406631229,3.97396704641432e-23,0.18146148083402,0.198526774482666,0.000875746760344678,0.582412772375211,0.223446778252389,0.00495125888527227,0.608630481609367,0.35,0.455,0.161538461538461,3,0,3,0,0.3,"sce1",8,"hierarchical_beta"
1,0.388902233177323,0.106381996467144,0.724007303177067,0.0200501930744915,2.17023112489493e-29,0.202255069928973,0.401811074336879,0.113215375745784,0.742299181294132,0.2,0.2,0,6,3,0,0,0.3,"sce1",9,"fixed_beta"
2,0.0464927474409491,1.11680966960778e-05,0.247165284614458,0.0414159509243337,7.46349618886016e-11,0.307706486591165,0.0862316576319813,0.000288106669629486,0.38733531435412,0.35,0.41,0.0923076923076923,3,0,3,0,0.3,"sce1",9,"fixed_beta"
3,0.306123678342703,0.0455691939846533,0.626413803642777,0.09356324055507,1.02410332174152e-07,0.501991775243767,0.372114238532168,0.085661956788273,0.74581102551137,0.35,0.455,0.161538461538461,3,1,3,1,0.3,"sce1",9,"fixed_beta"
4,0.321391691110145,0.0617465673483944,0.673876467368221,0.141692666977169,4.97014321307178e-05,0.585867098308191,0.421677607731392,0.123470385314087,0.770573141628028,0.35,0.455,0.161538461538461,3,1,3,1,0.3,"sce1",9,"fixed_beta"
5,0.253128543026088,0.0127925834722214,0.62105221264157,0.328260800090155,0.00139500559799919,0.820072834733281,0.510970822613357,0.145103632230221,0.891292098657026,0.35,0.455,0.161538461538461,3,0,3,2,0.3,"sce1",9,"fixed_beta"
1,0.393274197137548,0.141787034512516,0.732607027556539,0.139674450758462,2.87537483149667e-11,0.641922069133173,0.476292218585765,0.178821803584749,0.842667134542469,0.2,0.2,0,6,3,0,0,0.3,"sce1",9,"hierarchical_beta"
2,0.12598601879723,4.46180008528592e-05,0.3659497790267,0.0858087263438616,5.39269342948427e-15,0.363425493147073,0.202320890910624,0.00973982001427242,0.490066873615793,0.35,0.41,0.0923076923076923,3,0,3,0,0.3,"sce1",9,"hierarchical_beta"
3,0.290230838407436,0.0672507414573707,0.610291636222363,0.102378476459626,5.94057998985793e-18,0.434965287332484,0.366467974733082,0.103689529625522,0.676063710863045,0.35,0.455,0.161538461538461,3,1,3,1,0.3,"sce1",9,"hierarchical_beta"
4,0.29742735395471,0.0553008994621225,0.615447802565584,0.108866005671416,6.84473452317929e-14,0.447890109532636,0.377707322625537,0.128775827706969,0.693887117090191,0.35,0.455,0.161538461538461,3,1,3,1,0.3,"sce1",9,"hierarchical_beta"
5,0.228382178521356,3.0392938030013e-05,0.575897648784177,0.2222105007832,1.08728591164066e-09,0.764678492162788,0.412643318866897,0.12255827135062,0.815354753799625,0.35,0.455,0.161538461538461,3,0,3,2,0.3,"sce1",9,"hierarchical_beta"
1,0.0271553039487433,2.91620267609944e-09,0.186848742022676,0.0349666848814659,8.39932409259903e-27,0.348421436390882,0.0610870970324835,9.43306922200054e-08,0.407995623947004,0.2,0.2,0,6,0,0,0,0.3,"sce1",10,"fixed_beta"
