"Task_ID","Scenario","Source_Scenario","Scenario_Group","Attempt","Allocation","Model_ID","Carryover_Model","Efficacy_Model","Nmax","N_s1","N_s2","n_eval","Cycle_Max","Arrival_Rate","T_assess","True_MTD","True_OBD","Target_Toxicity","Utility_Type","Lambda_T","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","Carryover_Mean","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Duration","Early_Stop_pct","ntrial"
44,16,1,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,5,0.26,0.2,0.239343542801322,0.307480163484993,48.8750680970467,0.131282219529779,76.4,10.1,4.095,3.295,1.574,30,17.888,1073.86104499257,0,1000
45,20,5,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,1,0.07,0.05,0.150919539199581,0.118636855364395,41.0814297538804,0.145736889958235,2.6,9.5,5.409,3.65,1.942,29.538,18.664,1091.15719224184,3,1000
45,20,5,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,2,0.14,0.25,0.197211565269988,0.237195294267425,46.3432550452459,0.145736889958235,21.5,50.1,11.493,8.397,4.702,29.538,18.664,1091.15719224184,3,1000
45,20,5,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,3,0.31,0.25,0.290652099145181,0.305813643155695,46.7227346235345,0.145736889958235,52.5,30.7,8.712,6.799,2.96,29.538,18.664,1091.15719224184,3,1000
45,20,5,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,4,0.41,0.25,0.338001278465937,0.402328015204533,50.6196297736345,0.145736889958235,19.7,6.1,3.093,2.598,1.029,29.538,18.664,1091.15719224184,3,1000
45,20,5,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,5,0.52,0.25,0.434158829982518,0.461444126152078,50.320294369824,0.145736889958235,3.6,0.4,0.831,0.739,0.241,29.538,18.664,1091.15719224184,3,1000
46,24,4,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,4,0.3,3,1,1,0.01,0.05,0.0323964138896944,0.146073255742054,47.4685387889355,0.128862194476929,0,0.9,3.33,2.307,1.058,30,19.673,1206.72416766453,0,1000
46,24,4,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,4,0.3,3,1,2,0.02,0.08,0.0510561533320178,0.172465436680729,48.305680067563,0.128862194476929,0,1.7,3.414,2.75,1.781,30,19.673,1206.72416766453,0,1000
46,24,4,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,4,0.3,3,1,3,0.05,0.2,0.0999117132281153,0.247884476935046,50.8766000869781,0.128862194476929,1.3,4.1,4.215,3.341,1.733,30,19.673,1206.72416766453,0,1000
46,24,4,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,4,0.3,3,1,4,0.1,0.5,0.130327867120467,0.462336851063972,62.5270963790196,0.128862194476929,5.7,48.8,10.113,8.133,3.297,30,19.673,1206.72416766453,0,1000
