"Scenario_Set","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Dose_Cap","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Restrict_To_Target","Metric","D1","D2","D3","D4","D5","Total","Duration","n_scenarios_expected","n_scenarios_found","n_scenarios_missing","n_files_found","ntrial_total_from_files"
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,5.905,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,14.5639,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",20.9567,20.2831,19.1448,15.4342,17.6146,NA,NA,10000,9820,180,9820,982000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",10.2834,6.6586,4.9281,3.4722,3.4739,NA,NA,10000,9820,180,9820,982000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,21.8734,NA,10000,9820,180,9820,982000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,352.7711,10000,9820,180,9820,982000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,34.5161,NA,10000,9820,180,9820,982000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,8.4897,NA,10000,9820,180,9820,982000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,24.0243,NA,10000,9820,180,9820,982000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,6.1231,NA,10000,9820,180,9820,982000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,14.2034,NA,10000,9820,180,9820,982000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",15.1385,21.7005,19.3326,18.2597,22.7532,NA,NA,10000,9900,100,9900,990000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",6.9652,8.207,5.5802,4.202,4.5421,NA,NA,10000,9900,100,9900,990000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,22.5053,NA,10000,9900,100,9900,990000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,357.6573,10000,9900,100,9900,990000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,36.5202,NA,10000,9900,100,9900,990000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,8.812,NA,10000,9900,100,9900,990000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,33.2963,NA,10000,9900,100,9900,990000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,8.5594,NA,10000,9900,100,9900,990000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,12.125,NA,10000,9900,100,9900,990000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",31.383,23.1175,19.1869,11.6885,8.525,NA,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",12.3997,7.0647,4.8784,2.8121,1.685,NA,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,21.9177,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,353.6762,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,32.3826,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,8.3152,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,12.1281,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,3.8301,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,16.6947,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",28.0914,22.3318,19.672,12.7408,11.3115,NA,NA,10000,9460,540,9460,946000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",10.9574,7.1586,5.1147,3.1656,2.4716,NA,NA,10000,9460,540,9460,946000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,21.7387,NA,10000,9460,540,9460,946000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,353.0508,10000,9460,540,9460,946000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,33.666,NA,10000,9460,540,9460,946000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,8.3868,NA,10000,9460,540,9460,946000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,15.7793,NA,10000,9460,540,9460,946000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,5.0777,NA,10000,9460,540,9460,946000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,15.4034,NA,10000,9460,540,9460,946000
