"Scenario_Set","Scenario_Name","Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Skeleton","CRM_Theta_Prior_Mean","CRM_Theta_Prior_SD","CRM_r_Prior_a","CRM_r_Prior_b","CFO_Skeleton","CFO_Model_File","CFO_Sigma2_Beta","CFO_Eta","CFO_PK_Method","CFO_N_MC_W","CFO_M_Use","CFO_Use_Monotone_Pair","CFO_N_Chains","CFO_N_Adapt","CFO_N_Burnin","CFO_N_Iter","CFO_Thin","CRM_Dose_Values","CRM_Alpha_Grid_Length","CRM_Dose_Scores_Raw","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.9,0,0.0714,28,3,1,1,1,0.07,0.07,0.0836,NA,NA,NA,0.155,4.0279,4.0279,0,29.9473,19.599,0.2067,332.7484,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.9,0,0.0714,28,3,1,1,2,0.12,0.183,0.1168,NA,NA,NA,3.7209,4.3256,4.3256,3.4036,29.9473,19.599,0.2067,332.7484,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.9,0,0.0714,28,3,1,1,3,0.17,0.278,0.1912,NA,NA,NA,12.4548,5.0791,5.0791,3.1845,29.9473,19.599,0.2067,332.7484,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.9,0,0.0714,28,3,1,1,4,0.22,0.373,0.2323,NA,NA,NA,27.8036,5.9349,5.9349,1.1214,29.9473,19.599,0.2067,332.7484,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.9,0,0.0714,28,3,1,1,5,0.3,0.498,0.322,NA,NA,NA,55.6589,10.5798,10.5798,2.6388,29.9473,19.599,0.2067,332.7484,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.9,0,0.0714,28,3,1,1,1,0.07,0.07,0.0984,NA,NA,NA,0.0517,3.186,3.186,0,29.9721,20.0103,0.1034,333.3202,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45","0.62828086,0.83770782,1.25656172,1.46598868,1.88484259",-2.8,2,1,2.5,1.6,1,0
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.9,0,0.0714,28,3,1,1,2,0.12,0.183,0.1211,NA,NA,NA,2.7907,4.0481,4.0481,2.9209,29.9721,20.0103,0.1034,333.3202,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45","0.62828086,0.83770782,1.25656172,1.46598868,1.88484259",-2.8,2,1,2.5,1.6,1,0
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.9,0,0.0714,28,3,1,1,3,0.17,0.278,0.183,NA,NA,NA,8.6305,4.8109,4.8109,3.0072,29.9721,20.0103,0.1034,333.3202,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45","0.62828086,0.83770782,1.25656172,1.46598868,1.88484259",-2.8,2,1,2.5,1.6,1,0
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.9,0,0.0714,28,3,1,1,4,0.22,0.373,0.2228,NA,NA,NA,28.9406,6.4372,6.4372,1.2501,29.9721,20.0103,0.1034,333.3202,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45","0.62828086,0.83770782,1.25656172,1.46598868,1.88484259",-2.8,2,1,2.5,1.6,1,0
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.9,0,0.0714,28,3,1,1,5,0.3,0.498,0.3174,NA,NA,NA,59.4832,11.4899,11.4899,2.7835,29.9721,20.0103,0.1034,333.3202,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45","0.62828086,0.83770782,1.25656172,1.46598868,1.88484259",-2.8,2,1,2.5,1.6,1,0
