"Scenario","True_MTD","Model","Method","Nmax_eff","Cycle_Max","Alpha_low","Alpha_high","MTD_sel_low","MTD_sel_high","Drop_pp"
4,5,"CFO","cfo_pride",45,2,0.9,1.2,9.314,0.5577,8.7563
4,5,"CFO","cfo_pride",45,3,0.3,0.6,30.8979,22.7552,8.1427
4,5,"CFO","cfo_pride",45,3,0.6,0.9,22.7552,1.6732,21.082
5,2,"CFO","cfo_pride",45,2,0.9,1.2,20.58,12.6046,7.9754
5,2,"CFO","cfo_pride",45,3,0.9,1.2,27.1612,13.0508,14.1104
6,2,"CFO","cfo_pride",45,2,0.6,0.9,22.8667,16.2856,6.5811
6,2,"CFO","cfo_pride",45,3,0.6,0.9,30.4518,16.2298,14.222
7,4,"CFO","cfo_pride",45,3,1.2,1.5,38.7061,33.1288,5.5773
8,3,"CFO","cfo_pride",45,2,0.6,0.9,16.8433,9.9833,6.86
8,3,"CFO","cfo_pride",45,2,0.9,1.2,9.9833,2.3982,7.5851
8,3,"CFO","cfo_pride",45,3,0.6,0.9,14.3335,1.7289,12.6046
9,4,"CFO","cfo_pride",45,2,0.9,1.2,19.7434,9.9833,9.7601
9,4,"CFO","cfo_pride",45,2,1.2,1.5,9.9833,4.6849,5.2984
9,4,"CFO","cfo_pride",45,3,0.9,1.2,29.2805,16.8991,12.3814
9,4,"CFO","cfo_pride",45,3,1.2,1.5,16.8991,10.4852,6.4139
10,3,"CFO","cfo_pride",45,2,0.9,1.2,31.1247,24.833,6.2917
10,3,"CFO","cfo_pride",45,3,0.9,1.2,22.049,8.0178,14.0312
11,5,"CFO","cfo_pride",45,3,0.9,1.2,47.3538,41.1699,6.1839
11,5,"CFO","cfo_pride",45,3,1.2,1.5,41.1699,35.766,5.4039
13,5,"CFO","cfo_pride",45,2,0.9,1.2,35.9331,29.8607,6.0724
13,5,"CFO","cfo_pride",45,2,1.2,1.5,29.8607,22.0613,7.7994
13,5,"CFO","cfo_pride",45,3,0.6,0.9,33.8719,15.3203,18.5516
15,3,"CFO","cfo_pride",45,3,1.2,1.5,28.078,20.8357,7.2423
20,3,"CFO","cfo_pride",45,2,0.6,0.9,38.4058,32.4415,5.9643
20,3,"CFO","cfo_pride",45,3,0,0.3,43.311,38.1271,5.1839
20,3,"CFO","cfo_pride",45,3,0.6,0.9,33.2219,14.1583,19.0636
2,4,"CRM","crm_fixed",45,2,0.3,0.6,24.4147,18.6734,5.7413
2,4,"CRM","crm_fixed",45,2,0.6,0.9,18.6734,12.1516,6.5218
2,4,"CRM","crm_random",45,2,0.9,1.2,17.7815,12.2631,5.5184
2,4,"CRM","crm_level",45,2,0.6,0.9,21.9064,15.8863,6.0201
2,4,"CRM","crm_alpha_crm",45,2,0.6,0.9,24.5819,19.398,5.1839
2,4,"CRM","crm_alpha_crm",45,2,0.9,1.2,19.398,14.2698,5.1282
2,4,"CRM","crm_cumu_crm",45,2,1.2,1.5,23.9688,17.9487,6.0201
2,4,"CRM","crm_fixed",45,3,0.3,0.6,24.5819,17.2241,7.3578
2,4,"CRM","crm_fixed",45,3,0.6,0.9,17.2241,9.8662,7.3579
2,4,"CRM","crm_random",45,3,0.6,0.9,20.903,15.1059,5.7971
2,4,"CRM","crm_level",45,3,0.6,0.9,22.0736,14.8829,7.1907
2,4,"CRM","crm_level",45,3,0.9,1.2,14.8829,9.8662,5.0167
2,4,"CRM","crm_cumu_crm",45,3,1.2,1.5,24.2475,18.0045,6.243
4,5,"CRM","crm_fixed",45,2,0,0.3,39.2638,28.3324,10.9314
4,5,"CRM","crm_fixed",45,2,0.3,0.6,28.3324,20.1339,8.1985
