"Scenario","True_MTD","Model","Method","CRM_r_model","CFO_Method","Nmax_eff","Cycle_Max","Alpha_low","Alpha_high","MTD_sel_low","MTD_sel_high","Drop_pp"
2,4,"CRM","crm_random","random",NA,45,3,0.3,1.5,25.8082,8.3612,17.447
2,4,"CRM","crm_level","level",NA,45,3,0.3,1.2,26.9788,9.8662,17.1126
2,4,"CRM","crm_fixed","fixed",NA,30,2,0,1.2,25.3066,8.3612,16.9454
2,4,"CRM","crm_random","random",NA,30,2,0,1.5,27.4247,10.5351,16.8896
2,4,"CRM","crm_random","random",NA,30,3,0,1.5,26.3657,9.5318,16.8339
2,4,"CRM","crm_random","random",NA,45,2,0.3,1.5,26.2542,9.4203,16.8339
2,4,"CRM","crm_fixed","fixed",NA,45,2,0.3,1.2,24.4147,7.6366,16.7781
2,4,"CRM","crm_fixed","fixed",NA,30,3,0,1.2,25.641,8.8629,16.7781
2,4,"CRM","crm_level","level",NA,30,3,0.3,1.5,25.3623,8.6957,16.6666
2,4,"CRM","crm_level","level",NA,30,3,0,1.2,27.2575,10.8696,16.3879
2,4,"CRM","crm_alpha_crm","alpha_crm",NA,45,2,0,1.2,30.6577,14.2698,16.3879
2,4,"CRM","crm_alpha_crm","alpha_crm",NA,30,2,0,1.5,26.9231,10.6466,16.2765
2,4,"CRM","crm_cumu_crm","cumu_crm",NA,45,3,0.3,1.5,34.0022,18.0045,15.9977
2,4,"CRM","crm_fixed","fixed",NA,45,2,0,0.9,27.9822,12.1516,15.8306
2,4,"CRM","crm_random","random",NA,45,3,0.3,1.2,25.8082,10.1449,15.6633
2,4,"CRM","crm_level","level",NA,30,2,0,1.2,27.5362,11.9287,15.6075
2,4,"CFO","cfo_pride",NA,"pride",30,3,0.6,1.2,21.6276,6.0758,15.5518
2,4,"CFO","cfo_pride",NA,"pride",45,3,0.6,1.2,21.5719,6.1873,15.3846
2,4,"CRM","crm_fixed","fixed",NA,30,2,0.3,1.2,23.5786,8.3612,15.2174
2,4,"CRM","crm_cumu_crm","cumu_crm",NA,45,3,0,1.5,33.1661,18.0045,15.1616
2,4,"CFO","cfo_pride",NA,"pride",45,2,0.6,1.5,15.1059,0,15.1059
2,4,"CRM","crm_alpha_crm","alpha_crm",NA,30,3,0,1.5,27.7035,12.6533,15.0502
2,4,"CRM","crm_alpha_crm","alpha_crm",NA,45,3,0,1.2,30.379,15.3289,15.0501
2,4,"CRM","crm_level","level",NA,30,2,0.3,1.5,23.6901,8.6957,14.9944
2,4,"CRM","crm_level","level",NA,45,3,0.6,1.5,22.0736,7.2464,14.8272
2,4,"CRM","crm_cumu_crm","cumu_crm",NA,45,2,0,1.5,32.7202,17.9487,14.7715
2,4,"CRM","crm_fixed","fixed",NA,45,3,0.3,0.9,24.5819,9.8662,14.7157
2,4,"CRM","crm_level","level",NA,45,3,0,0.9,29.5429,14.8829,14.66
2,4,"CFO","cfo_pride",NA,"pride",30,2,0.6,1.5,14.5485,0,14.5485
2,4,"CRM","crm_level","level",NA,30,3,0.3,1.2,25.3623,10.8696,14.4927
2,4,"CRM","crm_alpha_crm","alpha_crm",NA,45,2,0.6,1.5,24.5819,10.0892,14.4927
2,4,"CRM","crm_fixed","fixed",NA,45,2,0.6,1.5,18.6734,4.2363,14.4371
2,4,"CRM","crm_random","random",NA,30,2,0.3,1.5,24.9721,10.5351,14.437
2,4,"CRM","crm_cumu_crm","cumu_crm",NA,45,2,0.3,1.5,32.3857,17.9487,14.437
2,4,"CRM","crm_random","random",NA,30,2,0,1.2,27.4247,13.2664,14.1583
