"Scenario_Set","Scenario_Name","Scenario","Source_Scenario","True_MTD","Scenario_Attempt","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Skeleton","CRM_Theta_Prior_Mean","CRM_Theta_Prior_SD","CRM_r_Prior_a","CRM_r_Prior_b","CFO_Skeleton","CFO_Model_File","CFO_Sigma2_Beta","CFO_Eta","CFO_PK_Method","CFO_N_MC_W","CFO_M_Use","CFO_Use_Monotone_Pair","CFO_N_Chains","CFO_N_Adapt","CFO_N_Burnin","CFO_N_Iter","CFO_Thin","CRM_Dose_Values","CRM_Alpha_Grid_Length","CRM_Dose_Scores_Raw","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,2,1,1,7,0.37,0.37,0.3735,NA,NA,NA,15.0706,2.6174,2.6174,0.63,29.9592,19.9844,0.1512,335.1115,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,20,30,40,50,60,70,80","0.20412415,0.40824829,0.61237244,0.81649658,1.02062073,1.22474487,1.42886902,1.63299316",-2.2,2,1,2.2,1.6,1,0
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,2,1,1,8,0.41,0.41,0.4278,NA,NA,NA,21.5222,2.2939,2.2939,0.6573,29.9592,19.9844,0.1512,335.1115,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,20,30,40,50,60,70,80","0.20412415,0.40824829,0.61237244,0.81649658,1.02062073,1.22474487,1.42886902,1.63299316",-2.2,2,1,2.2,1.6,1,0
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,30,3,1,1,1,0.11,0.11,0.1242,0,NA,NA,0.9073,4.9143,4.9143,0,29.8866,17.3327,0.4536,324.3032,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,30,3,1,1,2,0.14,0.14,0.1609,NA,NA,NA,3.0746,3.9496,3.9496,3.4884,29.8866,17.3327,0.4536,324.3032,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,30,3,1,1,3,0.19,0.19,0.1975,NA,NA,NA,10.9879,4.872,4.872,3.0822,29.8866,17.3327,0.4536,324.3032,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,30,3,1,1,4,0.24,0.24,0.2435,NA,NA,NA,21.3206,5.0323,5.0323,0.9688,29.8866,17.3327,0.4536,324.3032,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,30,3,1,1,5,0.3,0.3,0.2898,NA,NA,NA,23.2863,4.8674,4.8674,2.4425,29.8866,17.3327,0.4536,324.3032,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,30,3,1,1,6,0.34,0.34,0.3366,NA,NA,NA,18.5484,3.2797,3.2797,1.6749,29.8866,17.3327,0.4536,324.3032,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,30,3,1,1,7,0.37,0.37,0.384,NA,NA,NA,12.0968,1.816,1.816,0.4884,29.8866,17.3327,0.4536,324.3032,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,30,3,1,1,8,0.41,0.41,0.4318,NA,NA,NA,9.3246,1.1552,1.1552,0.4088,29.8866,17.3327,0.4536,324.3032,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
