"Figure","Alpha","Gap","Method","Metric","Value","Scenarios found","Derived oracle quantity"
"Random prior sensitivity","0","0.15","Discount CRM (1, 1)","MTD selection","55.6537","9623","false"
"Random prior sensitivity","0","0.15","Discount CRM (1, 1)","MTD allocation","39.40133333333333","9623","false"
"Random prior sensitivity","0","0.15","Discount CRM (1, 1)","Overdose selection","28.593","9623","false"
"Random prior sensitivity","0","0.15","Discount CRM (1, 1)","Overdose allocation","29.661","9623","false"
"Random prior sensitivity","0","0.15","Discount CRM (1, 1)","Average sample size","22.3585","9623","false"
"Random prior sensitivity","0","0.15","Discount CRM (1, 1)","Average trial duration","175.2674142857143","9623","false"
"Random prior sensitivity","0","0.15","Discount CRM (1, 1)","Absolute MTD-selection change vs oracle","6.2804","9623","false"
"Random prior sensitivity","0","0.05","Oracle: r-fixed, alpha = 0","MTD selection","34.5165","10000","false"
"Random prior sensitivity","0","0.05","Oracle: r-fixed, alpha = 0","MTD allocation","28.066","10000","false"
"Random prior sensitivity","0","0.05","Oracle: r-fixed, alpha = 0","Overdose selection","25.2711","10000","false"
"Random prior sensitivity","0","0.05","Oracle: r-fixed, alpha = 0","Overdose allocation","20.298000000000002","10000","false"
"Random prior sensitivity","0","0.05","Oracle: r-fixed, alpha = 0","Average sample size","28.8972","10000","true"
"Random prior sensitivity","0","0.05","Oracle: r-fixed, alpha = 0","Average trial duration","231.1776","10000","true"
"Random prior sensitivity","0","0.05","Oracle: r-fixed, alpha = 0","Absolute MTD-selection change vs oracle","0","10000","false"
"Random prior sensitivity","0","0.10","Oracle: r-fixed, alpha = 0","MTD selection","50.3186","10000","false"
"Random prior sensitivity","0","0.10","Oracle: r-fixed, alpha = 0","MTD allocation","37.193333333333335","10000","false"
"Random prior sensitivity","0","0.10","Oracle: r-fixed, alpha = 0","Overdose selection","23.8285","10000","false"
"Random prior sensitivity","0","0.10","Oracle: r-fixed, alpha = 0","Overdose allocation","21.752666666666666","10000","false"
"Random prior sensitivity","0","0.10","Oracle: r-fixed, alpha = 0","Average sample size","29.178099999999997","10000","true"
"Random prior sensitivity","0","0.10","Oracle: r-fixed, alpha = 0","Average trial duration","233.42479999999998","10000","true"
"Random prior sensitivity","0","0.10","Oracle: r-fixed, alpha = 0","Absolute MTD-selection change vs oracle","0","10000","false"
"Random prior sensitivity","0","0.15","Oracle: r-fixed, alpha = 0","MTD selection","59.4115","10000","false"
"Random prior sensitivity","0","0.15","Oracle: r-fixed, alpha = 0","MTD allocation","42.927","10000","false"
"Random prior sensitivity","0","0.15","Oracle: r-fixed, alpha = 0","Overdose selection","20.7302","10000","false"
"Random prior sensitivity","0","0.15","Oracle: r-fixed, alpha = 0","Overdose allocation","21.921666666666667","10000","false"
"Random prior sensitivity","0","0.15","Oracle: r-fixed, alpha = 0","Average sample size","29.2446","10000","true"
"Random prior sensitivity","0","0.15","Oracle: r-fixed, alpha = 0","Average trial duration","233.9568","10000","true"
"Random prior sensitivity","0","0.15","Oracle: r-fixed, alpha = 0","Absolute MTD-selection change vs oracle","0","10000","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.15, 0.85)","MTD selection","34.5957","9910","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.15, 0.85)","MTD allocation","28.134999999999998","9910","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.15, 0.85)","Overdose selection","22.6477","9910","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.15, 0.85)","Overdose allocation","19.531333333333333","9910","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.15, 0.85)","Average sample size","21.8094","9910","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.15, 0.85)","Average trial duration","170.84458571428573","9910","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.15, 0.85)","Absolute MTD-selection change vs oracle","3.5045","9910","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.15, 0.85)","MTD selection","50.6103","9807","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.15, 0.85)","MTD allocation","37.35033333333333","9807","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.15, 0.85)","Overdose selection","21.7244","9807","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.15, 0.85)","Overdose allocation","21.437666666666665","9807","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.15, 0.85)","Average sample size","21.9516","9807","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.15, 0.85)","Average trial duration","171.99884285714285","9807","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.15, 0.85)","Absolute MTD-selection change vs oracle","0.3098","9807","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.15, 0.85)","MTD selection","59.2564","9948","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.15, 0.85)","MTD allocation","42.82133333333333","9948","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.15, 0.85)","Overdose selection","19.3784","9948","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.15, 0.85)","Overdose allocation","22.061333333333334","9948","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.15, 0.85)","Average sample size","22.1508","9948","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.15, 0.85)","Average trial duration","173.5998857142857","9948","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.15, 0.85)","Absolute MTD-selection change vs oracle","3.434","9948","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.3, 0.7)","MTD selection","34.6482","9890","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.3, 0.7)","MTD allocation","28.026","9890","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.3, 0.7)","Overdose selection","28.8822","9890","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.3, 0.7)","Overdose allocation","24.127000000000002","9890","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.3, 0.7)","Average sample size","21.8681","9890","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.3, 0.7)","Average trial duration","171.32134285714284","9890","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.3, 0.7)","Absolute MTD-selection change vs oracle","4.2162","9890","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.3, 0.7)","MTD selection","49.6387","9786","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.3, 0.7)","MTD allocation","36.31633333333333","9786","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.3, 0.7)","Overdose selection","26.6955","9786","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.3, 0.7)","Overdose allocation","25.795","9786","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.3, 0.7)","Average sample size","22.0752","9786","false"
