"Figure","Alpha","Gap","Method","Metric","Value","Scenarios found","Derived oracle quantity"
"All methods and random priors","0.3","0.05","r-fixed CRM","Average trial duration","171.96997142857143","10000","false"
"All methods and random priors","0.3","0.05","r-fixed CRM","Absolute MTD-selection change vs oracle","5.2609","10000","false"
"All methods and random priors","0.3","0.10","r-fixed CRM","MTD selection","51.0345","10000","false"
"All methods and random priors","0.3","0.10","r-fixed CRM","MTD allocation","37.913000000000004","10000","false"
"All methods and random priors","0.3","0.10","r-fixed CRM","Overdose selection","18.5236","10000","false"
"All methods and random priors","0.3","0.10","r-fixed CRM","Overdose allocation","18.396","10000","false"
"All methods and random priors","0.3","0.10","r-fixed CRM","Average sample size","21.9974","10000","false"
"All methods and random priors","0.3","0.10","r-fixed CRM","Average trial duration","172.34214285714285","10000","false"
"All methods and random priors","0.3","0.10","r-fixed CRM","Absolute MTD-selection change vs oracle","0.7159","10000","false"
"All methods and random priors","0.3","0.15","r-fixed CRM","MTD selection","60.6628","10000","false"
"All methods and random priors","0.3","0.15","r-fixed CRM","MTD allocation","44.028","10000","false"
"All methods and random priors","0.3","0.15","r-fixed CRM","Overdose selection","16.7531","10000","false"
"All methods and random priors","0.3","0.15","r-fixed CRM","Overdose allocation","19.231999999999996","10000","false"
"All methods and random priors","0.3","0.15","r-fixed CRM","Average sample size","22.192","10000","false"
"All methods and random priors","0.3","0.15","r-fixed CRM","Average trial duration","173.92171428571427","10000","false"
"All methods and random priors","0.3","0.15","r-fixed CRM","Absolute MTD-selection change vs oracle","3.8539","10000","false"
"All methods and random priors","0.3","0.05","Alpha-CRM","MTD selection","34.5358","10000","false"
"All methods and random priors","0.3","0.05","Alpha-CRM","MTD allocation","28.37033333333334","10000","false"
"All methods and random priors","0.3","0.05","Alpha-CRM","Overdose selection","23.9912","10000","false"
"All methods and random priors","0.3","0.05","Alpha-CRM","Overdose allocation","19.801","10000","false"
"All methods and random priors","0.3","0.05","Alpha-CRM","Average sample size","21.9144","10000","false"
"All methods and random priors","0.3","0.05","Alpha-CRM","Average trial duration","171.69981428571427","10000","false"
"All methods and random priors","0.3","0.05","Alpha-CRM","Absolute MTD-selection change vs oracle","3.3381","10000","false"
"All methods and random priors","0.3","0.10","Alpha-CRM","MTD selection","50.5552","10000","false"
"All methods and random priors","0.3","0.10","Alpha-CRM","MTD allocation","37.608666666666664","10000","false"
"All methods and random priors","0.3","0.10","Alpha-CRM","Overdose selection","23.7355","10000","false"
"All methods and random priors","0.3","0.10","Alpha-CRM","Overdose allocation","22.135333333333335","10000","false"
"All methods and random priors","0.3","0.10","Alpha-CRM","Average sample size","22.096","10000","false"
"All methods and random priors","0.3","0.10","Alpha-CRM","Average trial duration","173.11238571428572","10000","false"
"All methods and random priors","0.3","0.10","Alpha-CRM","Absolute MTD-selection change vs oracle","0.2366","10000","false"
"All methods and random priors","0.3","0.15","Alpha-CRM","MTD selection","59.19","10000","false"
"All methods and random priors","0.3","0.15","Alpha-CRM","MTD allocation","42.92433333333334","10000","false"
"All methods and random priors","0.3","0.15","Alpha-CRM","Overdose selection","21.2672","10000","false"
"All methods and random priors","0.3","0.15","Alpha-CRM","Overdose allocation","22.897333333333336","10000","false"
"All methods and random priors","0.3","0.15","Alpha-CRM","Average sample size","22.2979","10000","false"
"All methods and random priors","0.3","0.15","Alpha-CRM","Average trial duration","174.7633857142857","10000","false"
"All methods and random priors","0.3","0.15","Alpha-CRM","Absolute MTD-selection change vs oracle","3.8419","10000","false"
"All methods and random priors","0.3","0.05","Cumulative CRM","MTD selection","36.83","10000","false"
"All methods and random priors","0.3","0.05","Cumulative CRM","MTD allocation","29.507999999999996","10000","false"
"All methods and random priors","0.3","0.05","Cumulative CRM","Overdose selection","34.947","10000","false"
"All methods and random priors","0.3","0.05","Cumulative CRM","Overdose allocation","28.42033333333333","10000","false"
"All methods and random priors","0.3","0.05","Cumulative CRM","Average sample size","22.4949","10000","false"
"All methods and random priors","0.3","0.05","Cumulative CRM","Average trial duration","176.33095714285716","10000","false"
"All methods and random priors","0.3","0.05","Cumulative CRM","Absolute MTD-selection change vs oracle","7.3713","10000","false"
"All methods and random priors","0.3","0.10","Cumulative CRM","MTD selection","51.6382","10000","false"
"All methods and random priors","0.3","0.10","Cumulative CRM","MTD allocation","37.833","10000","false"
"All methods and random priors","0.3","0.10","Cumulative CRM","Overdose selection","30.8909","10000","false"
"All methods and random priors","0.3","0.10","Cumulative CRM","Overdose allocation","28.675333333333338","10000","false"
"All methods and random priors","0.3","0.10","Cumulative CRM","Average sample size","22.7355","10000","false"
"All methods and random priors","0.3","0.10","Cumulative CRM","Average trial duration","178.23012857142857","10000","false"
"All methods and random priors","0.3","0.10","Cumulative CRM","Absolute MTD-selection change vs oracle","1.3196","10000","false"
"All methods and random priors","0.3","0.15","Cumulative CRM","MTD selection","61.3074","10000","false"
"All methods and random priors","0.3","0.15","Cumulative CRM","MTD allocation","43.149","10000","false"
"All methods and random priors","0.3","0.15","Cumulative CRM","Overdose selection","24.9695","10000","false"
"All methods and random priors","0.3","0.15","Cumulative CRM","Overdose allocation","27.203666666666663","10000","false"
"All methods and random priors","0.3","0.15","Cumulative CRM","Average sample size","22.9144","10000","false"
"All methods and random priors","0.3","0.15","Cumulative CRM","Average trial duration","179.6908857142857","10000","false"
"All methods and random priors","0.3","0.15","Cumulative CRM","Absolute MTD-selection change vs oracle","5.5103","10000","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.15, 0.85)","MTD selection","34.5957","9910","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.15, 0.85)","MTD allocation","28.134999999999998","9910","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.15, 0.85)","Overdose selection","22.6477","9910","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.15, 0.85)","Overdose allocation","19.531333333333333","9910","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.15, 0.85)","Average sample size","21.8094","9910","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.15, 0.85)","Average trial duration","170.84458571428573","9910","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.15, 0.85)","Absolute MTD-selection change vs oracle","3.5045","9910","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.15, 0.85)","MTD selection","50.6103","9807","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.15, 0.85)","MTD allocation","37.35033333333333","9807","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.15, 0.85)","Overdose selection","21.7244","9807","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.15, 0.85)","Overdose allocation","21.437666666666665","9807","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.15, 0.85)","Average sample size","21.9516","9807","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.15, 0.85)","Average trial duration","171.99884285714285","9807","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.15, 0.85)","Absolute MTD-selection change vs oracle","0.3098","9807","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.15, 0.85)","MTD selection","59.2564","9948","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.15, 0.85)","MTD allocation","42.82133333333333","9948","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.15, 0.85)","Overdose selection","19.3784","9948","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.15, 0.85)","Overdose allocation","22.061333333333334","9948","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.15, 0.85)","Average sample size","22.1508","9948","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.15, 0.85)","Average trial duration","173.5998857142857","9948","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.15, 0.85)","Absolute MTD-selection change vs oracle","3.434","9948","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.3, 0.7)","MTD selection","34.6482","9890","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.3, 0.7)","MTD allocation","28.026","9890","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.3, 0.7)","Overdose selection","28.8822","9890","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.3, 0.7)","Overdose allocation","24.127000000000002","9890","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.3, 0.7)","Average sample size","21.8681","9890","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.3, 0.7)","Average trial duration","171.32134285714284","9890","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.3, 0.7)","Absolute MTD-selection change vs oracle","4.2162","9890","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.3, 0.7)","MTD selection","49.6387","9786","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.3, 0.7)","MTD allocation","36.31633333333333","9786","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.3, 0.7)","Overdose selection","26.6955","9786","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.3, 0.7)","Overdose allocation","25.795","9786","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.3, 0.7)","Average sample size","22.0752","9786","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.3, 0.7)","Average trial duration","172.99127142857145","9786","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.3, 0.7)","Absolute MTD-selection change vs oracle","0.6465","9786","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.3, 0.7)","MTD selection","57.9726","9935","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.3, 0.7)","MTD allocation","41.254000000000005","9935","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.3, 0.7)","Overdose selection","22.9714","9935","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.3, 0.7)","Overdose allocation","25.763333333333332","9935","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.3, 0.7)","Average sample size","22.2534","9935","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.3, 0.7)","Average trial duration","174.43144285714286","9935","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.3, 0.7)","Absolute MTD-selection change vs oracle","3.925","9935","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.5, 0.5)","MTD selection","34.5447","9890","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.5, 0.5)","MTD allocation","27.888","9890","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.5, 0.5)","Overdose selection","31.4843","9890","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.5, 0.5)","Overdose allocation","25.699","9890","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.5, 0.5)","Average sample size","21.8357","9890","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.5, 0.5)","Average trial duration","171.05857142857144","9890","false"
"All methods and random priors","0.3","0.05","Discount CRM (0.5, 0.5)","Absolute MTD-selection change vs oracle","5.396","9890","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.5, 0.5)","MTD selection","49.0879","9786","false"
