"Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","Alpha_true","r_carry","Accrual","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat_raw","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files"
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.3,0,0.5,2,0.12,0.141,0.0389,NA,NA,0,5.4,5.9055,5.9055,3.484,30,20.6415,0,69.0135,2000,2000
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.3,0,0.5,3,0.17,0.206,0.09,NA,NA,0,19.7,7.038,7.038,1.4455,30,20.6415,0,69.0135,2000,2000
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.3,0,0.5,4,0.22,0.271,0.1747,NA,NA,0,32.75,6.72,6.72,2.999,30,20.6415,0,69.0135,2000,2000
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.3,0,0.5,5,0.3,0.366,0.3053,NA,NA,0,41.3,6.015,6.015,1.43,30,20.6415,0,69.0135,2000,2000
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.3,0.1,0.5,1,0.07,0.07,0.009,NA,NA,0.1,0.8159,4.3126,4.3126,0,30,20.3952,0,68.4847,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.3,0.1,0.5,2,0.12,0.141,0.0301,NA,NA,0.1,4.3345,5.7323,5.7323,3.4799,30,20.3952,0,68.4847,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.3,0.1,0.5,3,0.17,0.206,0.0806,NA,NA,0.1,17.1851,7.0036,7.0036,1.4788,30,20.3952,0,68.4847,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.3,0.1,0.5,4,0.22,0.271,0.1514,NA,NA,0.1,30.6476,6.7206,6.7206,3.0678,30,20.3952,0,68.4847,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.3,0.1,0.5,5,0.3,0.366,0.282,NA,NA,0.1,47.0168,6.231,6.231,1.5783,30,20.3952,0,68.4847,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.3,0.2,0.5,1,0.07,0.07,0.0061,NA,NA,0.2,0.6119,4.1764,4.1764,0,30,22.2223,0,72.1443,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.3,0.2,0.5,2,0.12,0.141,0.0223,NA,NA,0.2,2.3457,4.0479,4.0479,3.2325,30,22.2223,0,72.1443,1961,1961
