"scenario","alpha_true","replicate","r_hat_used","r_hat_mean","r_hat_map","r_hat_sd","dose","nR","yR","nI","yI","p_true","q_true","obs_pooled","p_pool_plugin","p_mle_plugin"
"sce1",1.5,5,0.986743780219319,0.986743780219319,0,0.00315380592001567,5,100,50,100,100,0.5,1,0.75,0.75,0.503335870429697
"sce1",1.5,6,0.987003676005769,0.987003676005769,0,0.00318446907355885,1,100,23,100,100,0.3,1,0.615,0.615,0.232341368721799
"sce1",1.5,6,0.987003676005769,0.987003676005769,0,0.00318446907355885,2,100,28,100,100,0.35,1,0.64,0.64,0.282659976104028
"sce1",1.5,6,0.987003676005769,0.987003676005769,0,0.00318446907355885,3,100,38,100,100,0.4,1,0.69,0.69,0.383096291491345
"sce1",1.5,6,0.987003676005769,0.987003676005769,0,0.00318446907355885,4,100,44,100,100,0.45,1,0.72,0.72,0.443230573148453
"sce1",1.5,6,0.987003676005769,0.987003676005769,0,0.00318446907355885,5,100,45,100,100,0.5,1,0.725,0.725,0.453243718371181
"sce1",1.5,7,0.986919013957843,0.986919013957843,0,0.00317967097414874,1,100,31,100,100,0.3,1,0.655,0.655,0.312837528172641
"sce1",1.5,7,0.986919013957843,0.986919013957843,0,0.00317967097414874,2,100,26,100,100,0.35,1,0.63,0.63,0.262557424030505
"sce1",1.5,7,0.986919013957843,0.986919013957843,0,0.00317967097414874,3,100,42,100,100,0.4,1,0.71,0.71,0.423217401600908
"sce1",1.5,7,0.986919013957843,0.986919013957843,0,0.00317967097414874,4,100,34,100,100,0.45,1,0.67,0.67,0.342973257263281
"sce1",1.5,7,0.986919013957843,0.986919013957843,0,0.00317967097414874,5,100,54,100,100,0.5,1,0.77,0.77,0.543265268910495
"sce1",1.5,8,0.98667798338542,0.98667798338542,0,0.00313936957715754,1,100,29,100,100,0.3,1,0.645,0.645,0.292784717403982
"sce1",1.5,8,0.98667798338542,0.98667798338542,0,0.00313936957715754,2,100,42,100,100,0.35,1,0.71,0.71,0.423277265317354
"sce1",1.5,8,0.98667798338542,0.98667798338542,0,0.00313936957715754,3,100,38,100,100,0.4,1,0.69,0.69,0.383174771715435
"sce1",1.5,8,0.98667798338542,0.98667798338542,0,0.00313936957715754,4,100,52,100,100,0.45,1,0.76,0.76,0.523344481624133
"sce1",1.5,8,0.98667798338542,0.98667798338542,0,0.00313936957715754,5,100,49,100,100,0.5,1,0.745,0.745,0.493352543685683
"sce1",1.5,9,0.986609490118728,0.986609490118728,0,0.00312197171055385,1,100,26,100,100,0.3,1,0.63,0.63,0.262618934433263
"sce1",1.5,9,0.986609490118728,0.986609490118728,0,0.00312197171055385,2,100,40,100,100,0.35,1,0.7,0.7,0.403248236235457
"sce1",1.5,9,0.986609490118728,0.986609490118728,0,0.00312197171055385,3,100,48,100,100,0.4,1,0.74,0.74,0.483367217322908
"sce1",1.5,9,0.986609490118728,0.986609490118728,0,0.00312197171055385,4,100,54,100,100,0.45,1,0.77,0.77,0.543342913434575
"sce1",1.5,9,0.986609490118728,0.986609490118728,0,0.00312197171055385,5,100,48,100,100,0.5,1,0.74,0.74,0.483367217322908
"sce1",1.5,10,0.986733825819846,0.986733825819846,0,0.00315182277716061,1,100,30,100,100,0.3,1,0.65,0.65,0.302826937451664
"sce1",1.5,10,0.986733825819846,0.986733825819846,0,0.00315182277716061,2,100,32,100,100,0.35,1,0.66,0.66,0.322926873763689
"sce1",1.5,10,0.986733825819846,0.986733825819846,0,0.00315182277716061,3,100,41,100,100,0.4,1,0.705,0.705,0.41324192479016
