"scenario","alpha_true","r_hat_mean","r_hat_map","r_hat_sd","dose","nR","yR","nI","yI","p_true","q_true","obs_pooled","p_pool_plugin","p_mle_plugin"
"steep_8dose",0,0.0230832057062573,0,0.0213667159416731,6,18,12,25,15,0.55,0.55,0.627906976744186,0.622411946456137,0.623103462478076
"steep_8dose",0,0.0230832057062573,0,0.0213667159416731,7,15,12,28,23,0.75,0.75,0.813953488372093,0.811205973228068,0.811093240762333
"steep_8dose",0,0.0230832057062573,0,0.0213667159416731,8,12,12,30,26,0.9,0.9,0.904761904761905,0.902511559024894,0.903234809935589
"steep_8dose",0.1,0.0703902332006174,0.0543675005867971,0.0407544483904563,1,30,0,12,1,0.01,0.109,0.0238095238095238,0.00397804405829297,0
"steep_8dose",0.1,0.0703902332006174,0.0543675005867971,0.0407544483904563,2,28,0,15,1,0.03,0.127,0.0232558139534884,0,0
"steep_8dose",0.1,0.0703902332006174,0.0543675005867971,0.0407544483904563,3,25,3,18,4,0.08,0.172,0.162790697674419,0.13813761079551,0.133643360574538
"steep_8dose",0.1,0.0703902332006174,0.0543675005867971,0.0407544483904563,4,22,3,20,3,0.18,0.262,0.142857142857143,0.112208492332513,0.118274589383167
"steep_8dose",0.1,0.0703902332006174,0.0543675005867971,0.0407544483904563,5,20,6,22,11,0.35,0.415,0.404761904761905,0.384930425010674,0.377525974605562
"steep_8dose",0.1,0.0703902332006174,0.0543675005867971,0.0407544483904563,6,18,10,25,16,0.55,0.595,0.604651162790698,0.588802749797114,0.587099717448897
"steep_8dose",0.1,0.0703902332006174,0.0543675005867971,0.0407544483904563,7,15,11,28,20,0.75,0.775,0.720930232558139,0.70684275434162,0.707795782649147
"steep_8dose",0.1,0.0703902332006174,0.0543675005867971,0.0407544483904563,8,12,10,30,27,0.9,0.91,0.880952380952381,0.875543795565682,0.874524785068928
"steep_8dose",0.25,0.196128397705102,0.192875411350337,0.0577627535014099,1,30,0,12,1,0.01,0.2575,0.0238095238095238,0,0
"steep_8dose",0.25,0.196128397705102,0.192875411350337,0.0577627535014099,2,28,0,15,6,0.03,0.2725,0.13953488372093,0.088469353311546,0
"steep_8dose",0.25,0.196128397705102,0.192875411350337,0.0577627535014099,3,25,2,18,6,0.08,0.31,0.186046511627907,0.117959137748728,0.0952493132243633
"steep_8dose",0.25,0.196128397705102,0.192875411350337,0.0577627535014099,4,22,3,20,3,0.18,0.385,0.142857142857143,0.0441034319331749,0.0966382088137852
"steep_8dose",0.25,0.196128397705102,0.192875411350337,0.0577627535014099,5,20,5,22,14,0.35,0.5125,0.452380952380952,0.405908617828497,0.368539450253295
"steep_8dose",0.25,0.196128397705102,0.192875411350337,0.0577627535014099,6,18,14,25,19,0.55,0.6625,0.767441860465116,0.733398173525527,0.738788151533427
"steep_8dose",0.25,0.196128397705102,0.192875411350337,0.0577627535014099,7,15,12,28,22,0.75,0.8125,0.790697674418605,0.756653987479015,0.761014043950214
"steep_8dose",0.25,0.196128397705102,0.192875411350337,0.0577627535014099,8,12,8,30,30,0.9,0.925,0.904761904761905,0.904761904761905,0.887421243880165
"steep_8dose",0.4,0.328817169488481,0.329949796609535,0.0654072113217384,1,30,0,12,2,0.01,0.406,0.0476190476190476,0,0
"steep_8dose",0.4,0.328817169488481,0.329949796609535,0.0654072113217384,2,28,0,15,6,0.03,0.418,0.13953488372093,0.0369962085099143,0
"steep_8dose",0.4,0.328817169488481,0.329949796609535,0.0654072113217384,3,25,4,18,7,0.08,0.448,0.255813953488372,0.130488906008242,0.149827448143879
"steep_8dose",0.4,0.328817169488481,0.329949796609535,0.0654072113217384,4,22,6,20,9,0.18,0.508,0.357142857142857,0.228833879960819,0.251022483963553
"steep_8dose",0.4,0.328817169488481,0.329949796609535,0.0654072113217384,5,20,6,22,16,0.35,0.61,0.523809523809524,0.453822808982957,0.396877241775877
"steep_8dose",0.4,0.328817169488481,0.329949796609535,0.0654072113217384,6,18,5,25,19,0.55,0.73,0.558139534883721,0.489780418076377,0.420254196383211
"steep_8dose",0.4,0.328817169488481,0.329949796609535,0.0654072113217384,7,15,10,28,26,0.75,0.85,0.837209302325581,0.814422930056467,0.788091864868365
"steep_8dose",0.4,0.328817169488481,0.329949796609535,0.0654072113217384,8,12,9,30,28,0.9,0.94,0.880952380952381,0.857623476010192,0.842286986003861
