"scenario","alpha_true","dose","n_reps","p_true","q_true","mean_yR","mean_yI","mean_obs_pooled","sd_obs_pooled","mean_p_pool_plugin","sd_p_pool_plugin","bias_p_pool_plugin","mean_p_mle_plugin","sd_p_mle_plugin","bias_p_mle_plugin","mean_r_hat","sd_r_hat","mean_r_hat_posterior_mean","mean_r_hat_map"
"sce2",0,3,1000,0.3,0.3,30.036,29.934,0.29985,0.0340196242606357,0.295508002555081,0.0343879258739643,-0.00449199744491902,0.295467215152149,0.0344690420983685,-0.00453278484785117,0.0122840343412435,0.0132197372323508,0.0122840343412435,0
"sce2",0,4,1000,0.35,0.35,35.127,35.123,0.35125,0.0340748968978425,0.347228947369985,0.0343361900305148,-0.00277105263001462,0.347210208901941,0.0343619453851885,-0.00278979109805848,0.0122840343412435,0.0132197372323508,0.0122840343412435,0
"sce2",0,5,1000,0.45,0.45,44.9,45.072,0.44986,0.0354370736120547,0.446435288009762,0.0359549727190094,-0.00356471199023781,0.446417754776887,0.0359664867554283,-0.00358224522311258,0.0122840343412435,0.0132197372323508,0.0122840343412435,0
"sce2",0.3,1,1000,0.15,0.405,14.859,40.472,0.276655,0.0301926741540489,0.148652096395341,0.0387109723070129,-0.00134790360465885,0.148707644617405,0.0327888412051103,-0.00129235538259469,0.300250378067279,0.0363780948148826,0.300250378067279,0
"sce2",0.3,2,1000,0.2,0.44,20.058,43.931,0.319945,0.0323545791781286,0.199465507572104,0.0406817348111946,-0.000534492427896303,0.200019765902969,0.0359846640712202,1.97659029687792e-05,0.300250378067279,0.0363780948148826,0.300250378067279,0
"sce2",0.3,3,1000,0.3,0.51,29.76,51.232,0.40496,0.0347427036290421,0.300025725127317,0.044078899964233,2.57251273165041e-05,0.299023214929749,0.0412237750486187,-0.000976785070250515,0.300250378067279,0.0363780948148826,0.300250378067279,0
"sce2",0.3,4,1000,0.35,0.545,34.893,54.446,0.446695,0.033507084321076,0.348682574829235,0.0425837054751748,-0.00131742517076543,0.348760571215495,0.0400449767798853,-0.00123942878450547,0.300250378067279,0.0363780948148826,0.300250378067279,0
"sce2",0.3,5,1000,0.45,0.615,45.107,61.582,0.533445,0.0354868467363795,0.450883818747959,0.0437063466289381,0.000883818747958958,0.450938837655488,0.0411338158955013,0.000938837655488412,0.300250378067279,0.0363780948148826,0.300250378067279,0
"sce2",0.6,1,1000,0.15,0.66,15.098,66.208,0.40653,0.0289222335858695,0.152978116808763,0.0553671669024985,0.0029781168087634,0.151255856504965,0.0339418505573944,0.0012558565049649,0.599957712600192,0.0298836486907663,0.599957712600192,0
"sce2",0.6,2,1000,0.2,0.68,19.831,67.696,0.437635,0.0293281761607659,0.195166986662222,0.0547831404303832,-0.00483301333777827,0.197606422201311,0.0366077030519275,-0.00239357779868944,0.599957712600192,0.0298836486907663,0.599957712600192,0
