"scenario","alpha_true","dose","n_reps","p_true","q_true","mean_yR","mean_yI","mean_obs_pooled","sd_obs_pooled","mean_p_pool_plugin","sd_p_pool_plugin","bias_p_pool_plugin","mean_p_mle_plugin","sd_p_mle_plugin","bias_p_mle_plugin","mean_p_crm_random","sd_p_crm_random","bias_p_crm_random","mean_r_hat","sd_r_hat","mean_r_hat_posterior_mean","mean_r_hat_map","mean_r_hat_crm_random","sd_r_hat_crm_random"
"sce1",0.6,1,100,0.3,0.3,2.5,2.93,0.301666666666667,0.125661983239462,0.201835508170878,0.144037744396601,-0.0981644918291217,0.231480919802747,0.137788944899427,-0.0685190801972526,0.394167667366629,0.0512884188663984,0.0941676673666288,0.225939456645886,0.138180524278031,0.225939456645886,0,0.081922457281418,0.0728990384992605
"sce1",0.6,2,100,0.35,0.53,3.1,4.63,0.429444444444444,0.10880175858485,0.355217866322754,0.135556597217442,0.00521786632275355,0.350772990574414,0.130880753648779,0.000772990574414085,0.443158736795652,0.0505757709085091,0.093158736795652,0.225939456645886,0.138180524278031,0.225939456645886,0,0.081922457281418,0.0728990384992605
"sce1",0.6,3,100,0.4,0.61,4.03,5.42,0.525,0.102157484502387,0.464757094248346,0.12054005506713,0.0647570942483465,0.456892774621563,0.129192207748728,0.0568927746215626,0.490724034745889,0.0491434058311826,0.0907240347458891,0.225939456645886,0.138180524278031,0.225939456645886,0,0.081922457281418,0.0728990384992605
"sce1",0.6,4,100,0.45,0.69,4.13,6.18,0.572777777777778,0.117571712666797,0.526185275512261,0.138827850176417,0.0761852755122613,0.50603155842209,0.144612461771487,0.0560315584220903,0.53709770456708,0.0471063211451603,0.0870977045670799,0.225939456645886,0.138180524278031,0.225939456645886,0,0.081922457281418,0.0728990384992605
"sce1",0.6,5,100,0.5,0.77,4.38,6.88,0.625555555555556,0.111004438131762,0.587414705837022,0.131068458629344,0.087414705837022,0.56503771934509,0.140183872299789,0.06503771934509,0.582453943503675,0.0445494273711508,0.082453943503675,0.225939456645886,0.138180524278031,0.225939456645886,0,0.081922457281418,0.0728990384992605
"sce1",0.9,1,100,0.3,0.3,2.92,2.74,0.314444444444444,0.120330218633553,0.127498770287403,0.122547918786327,-0.172501229712597,0.231376219784316,0.112571938492865,-0.0686237802156843,0.433019128555683,0.0520929655013672,0.133019128555683,0.364350808732139,0.154679711836422,0.364350808732139,0,0.0684884856850146,0.060240584763014
"sce1",0.9,2,100,0.35,0.62,2.91,5.61,0.473333333333333,0.11152560174851,0.359382144759816,0.151859863510768,0.00938214475981576,0.345321141000688,0.140352530313832,-0.00467885899931172,0.481156806213473,0.0506566625385725,0.131156806213473,0.364350808732139,0.154679711836422,0.364350808732139,0,0.0684884856850146,0.060240584763014
"sce1",0.9,3,100,0.4,0.715,3.3,6.24,0.53,0.103985907512591,0.433525567575535,0.147884885798365,0.0335255675755346,0.406759335501238,0.141611442232999,0.00675933550123796,0.527374744038524,0.0486220684159656,0.127374744038524,0.364350808732139,0.154679711836422,0.364350808732139,0,0.0684884856850146,0.060240584763014
"sce1",0.9,4,100,0.45,0.81,4.06,7.08,0.618888888888889,0.112787577045756,0.559060233032938,0.1431336522675,0.109060233032938,0.511041461935389,0.161460583367866,0.0610414619353895,0.571994206365546,0.0460987610279928,0.121994206365546,0.364350808732139,0.154679711836422,0.364350808732139,0,0.0684884856850146,0.060240584763014
"sce1",0.9,5,100,0.5,0.905,4.47,8.26,0.707222222222222,0.101077558843979,0.681471226364316,0.121590134818468,0.181471226364316,0.616487936925685,0.149114395743485,0.116487936925685,0.615253074116,0.0431662245428409,0.115253074116,0.364350808732139,0.154679711836422,0.364350808732139,0,0.0684884856850146,0.060240584763014
"sce2",0,1,100,0.15,0.15,1.56,1.1,0.147777777777778,0.0770528991698729,0.125274627685582,0.0793570296977821,-0.0247253723144178,0.127449437445143,0.0818445778527463,-0.0225505625548573,0.160162664920015,0.0399698622070441,0.0101626649200147,0.0506759554860388,0.0553774356301988,0.0506759554860388,0,0.0778546327122555,0.0765403200175747
"sce2",0,2,100,0.3,0.3,2.83,2.82,0.313888888888889,0.10154529930749,0.294705247562791,0.110226967265385,-0.00529475243720927,0.294382956772447,0.113188505750167,-0.0056170432275525,0.308134405900085,0.0493898379879187,0.00813440590008468,0.0506759554860388,0.0553774356301988,0.0506759554860388,0,0.0778546327122555,0.0765403200175747
"sce2",0,3,100,0.38,0.38,3.56,3.43,0.388333333333333,0.118048045578784,0.372057161454025,0.120173083602566,-0.00794283854597518,0.37234371968757,0.120664803052308,-0.00765628031242969,0.386640389814289,0.0500698534097338,0.00664038981428932,0.0506759554860388,0.0553774356301988,0.0506759554860388,0,0.0778546327122555,0.0765403200175747
"sce2",0,4,100,0.45,0.45,4.15,4.01,0.453333333333333,0.138516898026136,0.438185403060783,0.14531153765371,-0.0118145969392168,0.437800694361042,0.145528204877698,-0.0121993056389578,0.455342455451159,0.0488671068043946,0.00534245545115922,0.0506759554860388,0.0553774356301988,0.0506759554860388,0,0.0778546327122555,0.0765403200175747
"sce2",0,5,100,0.55,0.55,5.03,4.84,0.548333333333333,0.12095944951712,0.536434470833883,0.123825981827092,-0.0135655291661167,0.536832317412065,0.123327139050506,-0.0131676825879355,0.553639610589974,0.0447262323190343,0.00363961058997422,0.0506759554860388,0.0553774356301988,0.0506759554860388,0,0.0778546327122555,0.0765403200175747
"sce2",0.3,1,100,0.15,0.15,1.23,1.18,0.133888888888889,0.0865341154476157,0.0917398652639163,0.0802038349649477,-0.0582601347360837,0.0992783213602352,0.08342356436041,-0.0507216786397648,0.174840975133966,0.0511976466595447,0.0248409751339659,0.0983293928820583,0.0924470243887329,0.0983293928820583,0,0.0805710443457457,0.0528013964445347
"sce2",0.3,2,100,0.3,0.345,2.52,2.95,0.303888888888889,0.121165465207078,0.266595352805026,0.125944238482061,-0.0334046471949735,0.26490788919448,0.132671009112345,-0.0350921108055196,0.325083975108707,0.0610015613535084,0.0250839751087067,0.0983293928820583,0.0924470243887329,0.0983293928820583,0,0.0805710443457457,0.0528013964445347
