"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","Carryover_Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","m_U","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Design","Flexible_IPDE","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Efficacy_Threshold","Futility_Cutoff","Min_Eff_N_for_Futility","Recycle_Toxicity_Rule","Recycle_Efficacy_Rule","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
458,14,4,"five_scenarios_txt",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,5,0.39,0.4,0.3885,0.4466,0.33,0.139,NA,NA,28,14.2,4.752,4.752,0,28.032,28.032,0.2,0.2,12.9,1556.1316,1000,1000
459,15,5,"five_scenarios_txt",1,3,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,1,0.13,0.1,0.1724,0.1287,0.077,0.1378,NA,NA,18.5,41.7,10.077,10.077,0,27.402,27.402,0.4,0.4,18.4,1523.1332,1000,1000
459,15,5,"five_scenarios_txt",1,3,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,2,0.2,0.1,0.2198,0.1862,0.1202,0.1378,NA,NA,20.5,23.6,6.732,6.732,0,27.402,27.402,0.4,0.4,18.4,1523.1332,1000,1000
459,15,5,"five_scenarios_txt",1,3,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,3,0.32,0.1,0.3137,0.2238,0.1297,0.1378,NA,NA,34.4,11.1,5.901,5.901,0,27.402,27.402,0.4,0.4,18.4,1523.1332,1000,1000
459,15,5,"five_scenarios_txt",1,3,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,4,0.39,0.1,0.3606,0.3263,0.2181,0.1378,NA,NA,17.8,4,3.225,3.225,0,27.402,27.402,0.4,0.4,18.4,1523.1332,1000,1000
459,15,5,"five_scenarios_txt",1,3,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,5,0.46,0.1,0.4551,0.4208,0.2843,0.1378,NA,NA,8.4,1.2,1.467,1.467,0,27.402,27.402,0.4,0.4,18.4,1523.1332,1000,1000
460,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,1,0.02,0.2,0.0449,0.2161,0.2026,0.1391,NA,NA,0.7,31.7,5.874,5.874,0,29.979,29.979,0,0,0.1,1662.8929,1000,1000
460,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,2,0.06,0.2,0.0677,0.2129,0.1926,0.1391,NA,NA,0.6,23.1,5.592,5.592,0,29.979,29.979,0,0,0.1,1662.8929,1000,1000
460,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,3,0.09,0.2,0.1241,0.2133,0.1761,0.1391,NA,NA,2.6,17.2,5.412,5.412,0,29.979,29.979,0,0,0.1,1662.8929,1000,1000
460,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,4,0.14,0.2,0.1578,0.2271,0.1798,0.1391,NA,NA,10.6,16.9,6.06,6.06,0,29.979,29.979,0,0,0.1,1662.8929,1000,1000
460,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,5,0.26,0.2,0.2365,0.2485,0.1776,0.1391,NA,NA,85.5,11,7.041,7.041,0,29.979,29.979,0,0,0.1,1662.8929,1000,1000
461,17,2,"five_scenarios_txt",1,2,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,1,0.11,0.3,0.1897,0.3102,0.2533,0.1338,NA,NA,16.1,30.8,10.083,10.083,0,29.811,29.811,0.2,0.2,1,1653.1294,1000,1000
461,17,2,"five_scenarios_txt",1,2,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,2,0.23,0.5,0.2406,0.4701,0.3979,0.1338,NA,NA,40.5,50.1,9.96,9.96,0,29.811,29.811,0.2,0.2,1,1653.1294,1000,1000
461,17,2,"five_scenarios_txt",1,2,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,3,0.39,0.5,0.339,0.4835,0.3818,0.1338,NA,NA,36,16,7.152,7.152,0,29.811,29.811,0.2,0.2,1,1653.1294,1000,1000
461,17,2,"five_scenarios_txt",1,2,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,4,0.58,0.5,0.3873,0.5024,0.3863,0.1338,NA,NA,6.9,2,2.274,2.274,0,29.811,29.811,0.2,0.2,1,1653.1294,1000,1000
461,17,2,"five_scenarios_txt",1,2,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,5,0.76,0.5,0.4826,0.5012,0.3564,0.1338,NA,NA,0.3,0.1,0.342,0.342,0,29.811,29.811,0.2,0.2,1,1653.1294,1000,1000
