"Plot_Alpha","Source_Alpha","Gap","Display_Method","Model","CRM_r_model","CFO_Method","Metric","Raw_Value","Plot_Value","Nmax_eff","n_scenarios_found","n_scenarios_paired_with_oracle"
0.3,0.3,"0.15","IPCRM","CRM","cumu_crm",NA,"Average overdose allocation",8.1611,27.2036666666667,30,10000,9980
0.3,0.3,"0.15","Discount CRM","CRM","random",NA,"Average overdose allocation",6.6122,22.0406666666667,30,9980,9980
0.3,0.3,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Average overdose allocation",8.5742,28.5806666666667,30,9730,9710
0.3,0,"0.15","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average overdose allocation",6.5784,21.928,30,9980,9980
0.3,0.3,"0.05","CRM","CRM","r_fixed",NA,"Average total unique patients",21.9502,21.9502,30,10000,10000
0.3,0.3,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average total unique patients",21.9144,21.9144,30,10000,10000
0.3,0.3,"0.05","IPCRM","CRM","cumu_crm",NA,"Average total unique patients",22.4949,22.4949,30,10000,10000
0.3,0.3,"0.05","Discount CRM","CRM","random",NA,"Average total unique patients",21.81,21.81,30,10000,10000
0.3,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average total unique patients",21.9033,21.9033,30,10000,10000
0.3,0.3,"0.10","CRM","CRM","r_fixed",NA,"Average total unique patients",21.9977,21.9977,30,10000,10000
0.3,0.3,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Average total unique patients",22.096,22.096,30,10000,10000
0.3,0.3,"0.10","IPCRM","CRM","cumu_crm",NA,"Average total unique patients",22.7355,22.7355,30,10000,10000
0.3,0.3,"0.10","Discount CRM","CRM","random",NA,"Average total unique patients",21.9522,21.9522,30,10000,10000
0.3,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average total unique patients",22.0211,22.0211,30,10000,10000
0.3,0.3,"0.15","CRM","CRM","r_fixed",NA,"Average total unique patients",22.1915,22.1915,30,9980,9980
0.3,0.3,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Average total unique patients",22.2979,22.2979,30,10000,9980
0.3,0.3,"0.15","IPCRM","CRM","cumu_crm",NA,"Average total unique patients",22.9144,22.9144,30,10000,9980
0.3,0.3,"0.15","Discount CRM","CRM","random",NA,"Average total unique patients",22.1537,22.1537,30,9980,9980
0.3,0.3,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Average total unique patients",23.2179,23.2179,30,9730,9710
0.3,0,"0.15","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average total unique patients",22.218,22.218,30,9980,9980
0.3,0.3,"0.05","CRM","CRM","r_fixed",NA,"Average trial duration",1203.7616,171.965942857143,30,10000,10000
0.3,0.3,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average trial duration",1201.8987,171.699814285714,30,10000,10000
0.3,0.3,"0.05","IPCRM","CRM","cumu_crm",NA,"Average trial duration",1234.3167,176.330957142857,30,10000,10000
0.3,0.3,"0.05","Discount CRM","CRM","random",NA,"Average trial duration",1195.9278,170.846828571429,30,10000,10000
0.3,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average trial duration",1201.1582,171.594028571429,30,10000,10000
0.3,0.3,"0.10","CRM","CRM","r_fixed",NA,"Average trial duration",1206.4105,172.344357142857,30,10000,10000
