"dose","true_regular_probability","average_regular_estimate","average_ipde_estimate","scenario","alpha_eff","prior_type","prior_label","a_r","b_r","n_regular","n_ipde","true_ipde_probability"
5,0.5,0.403863501602031,0.469848137385947,"sce5",0.3,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.635
1,0.1,0.102244823980605,0.102244823980605,"sce5",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.1
2,0.2,0.168264616156939,0.210498475089264,"sce5",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.23
3,0.4,0.364517508261558,0.392975872269608,"sce5",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.46
4,0.45,0.337858226463236,0.474635861704865,"sce5",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.57
5,0.5,0.422955771377324,0.501393695059155,"sce5",0.3,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.635
1,0.1,0.133860437875572,0.133860437875572,"sce5",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.1
2,0.2,0.217843585036825,0.249926442230419,"sce5",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.23
3,0.4,0.367248774851697,0.437489245082741,"sce5",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.46
4,0.45,0.400235330580093,0.51217029303926,"sce5",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.57
5,0.5,0.457038134478776,0.547187811142683,"sce5",0.3,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.635
1,0.1,0.161569691173225,0.161569691173225,"sce5",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.1
2,0.2,0.285246022096283,0.310562148317426,"sce5",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.23
3,0.4,0.411923489189121,0.505190356879848,"sce5",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.46
4,0.45,0.499719908916019,0.592636916748423,"sce5",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.57
5,0.5,0.505258718979337,0.602444288347887,"sce5",0.3,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.635
1,0.2,0.157515367437936,0.157515367437936,"sce1",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.2
2,0.35,0.251190119175118,0.368252947696121,"sce1",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.47
3,0.36,0.279405825201813,0.449082383782778,"sce1",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.57
